Facility,Time,Commodity,Flow
m6,1,"('l1', 'k1')",12.782892
m6,1,"('l1', 'k2')",12.795984
m6,1,"('l1', 'k3')",11.103282
m6,1,"('l1', 'k4')",1.3404933
m6,1,"('l1', 'k5')",11.977349
m6,2,"('l1', 'k1')",5.2317814
m6,2,"('l1', 'k2')",6.6074455
m6,2,"('l1', 'k3')",14.234968
m6,2,"('l1', 'k4')",16.816021
m6,2,"('l1', 'k5')",7.1097842
m8,1,"('l1', 'k1')",5.0865018
m8,1,"('l1', 'k2')",13.512528
m8,1,"('l1', 'k3')",10.239868
m8,1,"('l1', 'k4')",6.7314991
m8,1,"('l1', 'k5')",14.429602
m8,2,"('l1', 'k1')",7.9107168
m8,2,"('l1', 'k2')",9.1077067
m8,2,"('l1', 'k3')",10.946801
m8,2,"('l1', 'k4')",12.165861
m8,2,"('l1', 'k5')",9.8689148
m10,1,"('l1', 'k1')",12.070435
m10,1,"('l1', 'k2')",13.599756
m10,1,"('l1', 'k3')",8.8717263
m10,1,"('l1', 'k4')",7.463703
m10,1,"('l1', 'k5')",7.9943802
m10,2,"('l1', 'k1')",5.7957344
m10,2,"('l1', 'k2')",5.147253
m10,2,"('l1', 'k3')",14.613975
m10,2,"('l1', 'k4')",14.538047
m10,2,"('l1', 'k5')",9.9049905
