Facility,Level,Time,Commodity,Flow
m1,l2,1,"('l1', 'k1')",65.883612
m1,l2,1,"('l2', 'k1')",105.41693
m1,l2,2,"('l1', 'k1')",13.91322
m1,l2,2,"('l2', 'k1')",14.786238
m2,l2,1,"('l1', 'k2')",59.176015
m2,l2,1,"('l2', 'k2')",85.851265
m2,l2,2,"('l1', 'k2')",40.163511
m2,l2,2,"('l2', 'k2')",14.809209
m3,l2,1,"('l1', 'k3')",74.997851
m3,l2,1,"('l2', 'k3')",103.97506
m3,l2,2,"('l1', 'k3')",13.650145
m3,l2,2,"('l2', 'k3')",7.3769421
m4,l2,1,"('l1', 'k4')",71.879234
m4,l2,1,"('l2', 'k4')",100.15676
m4,l2,2,"('l1', 'k4')",20.749866
m4,l2,2,"('l2', 'k4')",7.214135
m5,l2,1,"('l1', 'k5')",63.430939
m5,l2,1,"('l2', 'k5')",92.4386
m5,l2,2,"('l1', 'k5')",32.554213
m5,l2,2,"('l2', 'k5')",11.576248
m6,l1,1,"('l1', 'k1')",12.782892
m6,l1,1,"('l1', 'k2')",12.795984
m6,l1,1,"('l1', 'k3')",11.103282
m6,l1,1,"('l1', 'k4')",3.6210155
m6,l1,1,"('l1', 'k5')",11.977349
m6,l1,2,"('l1', 'k1')",5.2317814
m6,l1,2,"('l1', 'k2')",6.6074455
m6,l1,2,"('l1', 'k3')",14.234968
m6,l1,2,"('l1', 'k4')",14.535498
m6,l1,2,"('l1', 'k5')",7.1097842
m8,l1,1,"('l1', 'k1')",6.1004833
m8,l1,1,"('l1', 'k2')",13.512528
m8,l1,1,"('l1', 'k3')",10.239868
m8,l1,1,"('l1', 'k4')",6.7314991
m8,l1,1,"('l1', 'k5')",14.429602
m8,l1,2,"('l1', 'k1')",6.8967353
m8,l1,2,"('l1', 'k2')",9.1077067
m8,l1,2,"('l1', 'k3')",10.946801
m8,l1,2,"('l1', 'k4')",12.165861
m8,l1,2,"('l1', 'k5')",9.8689148
m10,l1,1,"('l1', 'k1')",12.070435
m10,l1,1,"('l1', 'k2')",13.599756
m10,l1,1,"('l1', 'k3')",8.8717263
m10,l1,1,"('l1', 'k4')",7.463703
m10,l1,1,"('l1', 'k5')",7.9943802
m10,l1,2,"('l1', 'k1')",5.7957344
m10,l1,2,"('l1', 'k2')",5.147253
m10,l1,2,"('l1', 'k3')",14.613975
m10,l1,2,"('l1', 'k4')",14.538047
m10,l1,2,"('l1', 'k5')",9.9049905
