Type,Facility,Time,Commodity,Flow
k1,m1,1,"('l1', 'k1')",65.883612
k1,m1,1,"('l2', 'k1')",34.116388
k1,m1,2,"('l1', 'k1')",13.91322
k1,m1,2,"('l2', 'k1')",86.08678
k2,m2,1,"('l1', 'k2')",14.148735
k2,m2,1,"('l2', 'k2')",85.851265
k2,m2,2,"('l1', 'k2')",85.190791
k2,m2,2,"('l2', 'k2')",14.809209
k3,m3,1,"('l1', 'k3')",74.997851
k3,m3,1,"('l2', 'k3')",25.002149
k3,m3,2,"('l1', 'k3')",13.650145
k3,m3,2,"('l2', 'k3')",86.349855
k4,m4,1,"('l1', 'k4')",71.879234
k4,m4,1,"('l2', 'k4')",28.120766
k4,m4,2,"('l1', 'k4')",20.749866
k4,m4,2,"('l2', 'k4')",79.250134
k5,m5,1,"('l1', 'k5')",7.5613997
k5,m5,1,"('l2', 'k5')",92.4386
k5,m5,2,"('l1', 'k5')",88.423752
k5,m5,2,"('l2', 'k5')",11.576248
