From Node,To Node,Time,Commodity,Flow
m1,m2,1,"('l1', 'k2')",7.7836939
m1,m2,2,"('l1', 'k2')",7.0920212
m1,m3,1,"('l1', 'k3')",9.2451759
m1,m3,1,"('l2', 'k3')",13.258528
m1,m4,1,"('l1', 'k4')",13.447761
m1,m4,1,"('l2', 'k4')",6.3670659
m1,m4,2,"('l1', 'k4')",6.0837689
m1,m5,1,"('l1', 'k5')",5.0471886
m1,m5,1,"('l2', 'k5')",10.750933
m2,m1,1,"('l1', 'k1')",9.3170418
m2,m1,1,"('l2', 'k1')",8.7283205
m2,m3,1,"('l1', 'k3')",13.176494
m2,m3,1,"('l2', 'k3')",7.5242635
m2,m4,1,"('l1', 'k4')",8.3611195
m2,m4,1,"('l2', 'k4')",12.956625
m2,m5,1,"('l1', 'k5')",6.7541045
m2,m5,1,"('l2', 'k5')",5.1525497
m3,m1,1,"('l1', 'k1')",12.424797
m3,m1,1,"('l2', 'k1')",10.446849
m3,m2,1,"('l1', 'k2')",9.4341255
m3,m2,1,"('l2', 'k2')",12.691152
m3,m2,2,"('l1', 'k2')",13.848533
m3,m4,1,"('l1', 'k4')",5.2043913
m3,m4,1,"('l2', 'k4')",7.8589569
m3,m5,1,"('l1', 'k5')",7.1002658
m3,m5,1,"('l2', 'k5')",13.523951
m3,m5,2,"('l1', 'k5')",8.3680027
m3,m8,1,"('l1', 'k2')",1.8677139
m4,m1,1,"('l1', 'k1')",8.7625245
m4,m1,1,"('l2', 'k1')",14.463799
m4,m2,1,"('l2', 'k2')",11.022967
m4,m2,2,"('l1', 'k2')",1.0045586
m4,m3,1,"('l1', 'k3')",11.299419
m4,m3,1,"('l2', 'k3')",8.8776628
m4,m5,1,"('l1', 'k5')",14.338413
m4,m5,1,"('l2', 'k5')",7.0434528
m5,m1,1,"('l1', 'k1')",10.086989
m5,m1,1,"('l2', 'k1')",8.3559644
m5,m2,1,"('l1', 'k2')",5.8846017
m5,m2,1,"('l2', 'k2')",13.054505
m5,m3,1,"('l1', 'k3')",10.280352
m5,m3,1,"('l2', 'k3')",12.54349
m5,m3,2,"('l1', 'k3')",5.055067
m5,m4,1,"('l1', 'k4')",14.92158
m5,m4,1,"('l2', 'k4')",8.1306644
m6,m1,1,"('l2', 'k1')",13.596183
m6,m2,1,"('l2', 'k2')",11.253238
m6,m3,1,"('l2', 'k3')",14.824078
m6,m4,1,"('l1', 'k4')",4.468988
m6,m4,1,"('l2', 'k4')",14.765001
m6,m5,1,"('l2', 'k5')",6.6669413
m7,m1,1,"('l1', 'k1')",7.7761384
m7,m1,1,"('l2', 'k1')",9.9216697
m7,m2,1,"('l1', 'k2')",12.16071
m7,m2,1,"('l2', 'k2')",9.0288033
m7,m3,1,"('l1', 'k3')",10.259559
m7,m3,1,"('l2', 'k3')",8.542983
m7,m4,1,"('l1', 'k4')",5.0139902
m7,m4,1,"('l2', 'k4')",10.006143
m7,m5,1,"('l1', 'k5')",8.9470029
m7,m5,1,"('l2', 'k5')",9.4517663
m8,m1,1,"('l2', 'k1')",7.4186009
m8,m2,1,"('l2', 'k2')",14.989323
m8,m3,1,"('l2', 'k3')",10.826938
m8,m4,1,"('l2', 'k4')",6.83279
m8,m5,1,"('l2', 'k5')",8.8684542
m9,m1,1,"('l1', 'k1')",7.0820724
m9,m1,1,"('l2', 'k1')",12.700898
m9,m2,1,"('l1', 'k2')",9.5125862
m9,m2,1,"('l2', 'k2')",8.7543925
m9,m3,1,"('l1', 'k3')",9.9184291
m9,m3,1,"('l2', 'k3')",8.4373954
m9,m4,1,"('l1', 'k4')",13.990763
m9,m4,1,"('l2', 'k4')",11.550352
m9,m5,1,"('l1', 'k5')",12.293605
m9,m5,1,"('l2', 'k5')",12.11038
m9,m5,2,"('l1', 'k5')",14.616419
m10,m1,1,"('l2', 'k1')",13.568955
m10,m2,2,"('l1', 'k2')",7.1803531
m10,m3,1,"('l2', 'k3')",11.63277
m10,m4,1,"('l1', 'k4')",0.044637192
m10,m4,1,"('l2', 'k4')",13.057286
m10,m4,2,"('l2', 'k4')",1.2935789
m10,m5,1,"('l2', 'k5')",7.529805
