Facility,Time,Commodity,Flow
m6,1,"('l1', 'k3')",10.759736
m6,1,"('l2', 'k1')",13.596183
m6,1,"('l2', 'k2')",5.2776937
m6,1,"('l2', 'k4')",13.699446
m6,1,"('l2', 'k5')",6.6669413
m6,2,"('l1', 'k2')",12.795984
m6,2,"('l1', 'k3')",14.578514
m6,2,"('l1', 'k4')",22.625502
m7,1,"('l1', 'k1')",10.003559
m7,1,"('l1', 'k2')",12.16071
m7,1,"('l1', 'k3')",10.259559
m7,1,"('l1', 'k4')",5.0139902
m7,1,"('l2', 'k1')",9.9216697
m7,1,"('l2', 'k2')",2.6405118
m7,2,"('l2', 'k2')",11.616915
m7,2,"('l2', 'k3')",23.451911
m7,2,"('l2', 'k5')",14.931174
m8,1,"('l1', 'k2')",11.472908
m8,1,"('l1', 'k3')",10.239868
m8,1,"('l1', 'k4')",6.7314991
m8,1,"('l2', 'k1')",7.4186009
m8,1,"('l2', 'k2')",7.3043338
m8,1,"('l2', 'k4')",6.83279
m8,2,"('l1', 'k2')",9.1077067
m8,2,"('l2', 'k2')",7.6849889
m8,2,"('l2', 'k3')",20.244016
m8,2,"('l2', 'k5')",12.963288
