Node,Path,Commodity,Flow
m1,in,"('l1', 'k2')",7.0920212
m1,in,"('l1', 'k3')",6.8532822
m1,in,"('l1', 'k4')",6.0837689
m1,in,"('l1', 'k5')",7.1969749
m1,in,"('l2', 'k2')",13.116831
m1,in,"('l2', 'k3')",6.7194101
m1,in,"('l2', 'k4')",13.162247
m1,in,"('l2', 'k5')",7.7407375
m2,in,"('l1', 'k1')",10.988434
m2,in,"('l1', 'k3')",6.0514769
m2,in,"('l1', 'k4')",8.8194344
m2,in,"('l1', 'k5')",5.3647606
m2,in,"('l2', 'k1')",13.904116
m2,in,"('l2', 'k3')",5.2217063
m2,in,"('l2', 'k4')",13.905459
m2,in,"('l2', 'k5')",10.769015
m3,in,"('l1', 'k1')",14.750065
m3,in,"('l1', 'k2')",13.848533
m3,in,"('l1', 'k4')",10.988589
m3,in,"('l1', 'k5')",8.5479561
m3,in,"('l2', 'k1')",8.4019022
m3,in,"('l2', 'k4')",5.4486228
m3,in,"('l2', 'k5')",10.054314
m4,in,"('l1', 'k1')",7.7676506
m4,in,"('l1', 'k2')",7.4653588
m4,in,"('l1', 'k3')",6.73608
m4,in,"('l1', 'k5')",14.570126
m4,in,"('l2', 'k1')",10.979737
m4,in,"('l2', 'k2')",12.313008
m4,in,"('l2', 'k3')",8.4038522
m4,in,"('l2', 'k5')",9.6349802
m5,in,"('l1', 'k1')",10.404046
m5,in,"('l1', 'k2')",7.9679375
m5,in,"('l1', 'k3')",6.107879
m5,in,"('l1', 'k4')",8.126403
m5,in,"('l2', 'k1')",3.8306192
m5,in,"('l2', 'k2')",7.5425752
m6,in,"('l1', 'k1')",5.2317814
m6,in,"('l1', 'k2')",6.6074455
m6,in,"('l1', 'k5')",7.1097842
m6,in,"('l2', 'k1')",8.6052525
m6,in,"('l2', 'k2')",10.493753
m6,in,"('l2', 'k3')",7.7183085
m6,in,"('l2', 'k5')",11.961616
m7,in,"('l1', 'k1')",5.9043279
m7,in,"('l1', 'k2')",7.7356292
m7,in,"('l1', 'k3')",14.434771
m7,in,"('l1', 'k4')",5.2654464
m7,in,"('l1', 'k5')",5.3999869
m7,in,"('l2', 'k1')",7.8314036
m7,in,"('l2', 'k4')",14.926422
m8,in,"('l1', 'k1')",6.8967353
m8,in,"('l1', 'k3')",10.946801
m8,in,"('l1', 'k4')",12.165861
m8,in,"('l1', 'k5')",9.8689148
m8,in,"('l2', 'k1')",8.0958982
m8,in,"('l2', 'k2')",10.774414
m9,in,"('l1', 'k1')",6.1353758
m9,in,"('l1', 'k2')",6.3302869
m9,in,"('l1', 'k3')",9.5603906
m9,in,"('l1', 'k4')",6.5973623
m9,in,"('l1', 'k5')",14.616419
m9,in,"('l2', 'k1')",13.376157
m9,in,"('l2', 'k3')",7.1827226
m9,in,"('l2', 'k4')",1.6243612
m9,in,"('l2', 'k5')",14.790703
m10,in,"('l1', 'k1')",5.7957344
m10,in,"('l1', 'k2')",12.327606
m10,in,"('l1', 'k3')",14.613975
m10,in,"('l1', 'k4')",14.538047
m10,in,"('l1', 'k5')",9.9049905
m10,in,"('l2', 'k1')",11.321921
m10,in,"('l2', 'k2')",12.32995
m10,in,"('l2', 'k4')",6.6224692
m10,in,"('l2', 'k5')",9.0588132
