From Node,To Node,Time,Commodity,Flow
m1,m2,1,"('l1', 'k2')",0.77836939
m1,m2,1,"('l2', 'k2')",1.1707491
m1,m3,1,"('l1', 'k3')",0.92451759
m1,m3,1,"('l2', 'k3')",1.3258528
m1,m4,1,"('l1', 'k4')",1.3447761
m1,m4,1,"('l2', 'k4')",0.63670659
m1,m5,1,"('l1', 'k5')",0.50471886
m1,m5,1,"('l2', 'k5')",1.0750933
m2,m1,1,"('l1', 'k1')",0.93170418
m2,m1,1,"('l2', 'k1')",0.87283205
m2,m3,1,"('l1', 'k3')",1.3176494
m2,m3,1,"('l2', 'k3')",0.75242635
m2,m3,2,"('l2', 'k3')",0.037771362
m2,m4,1,"('l1', 'k4')",0.83611195
m2,m4,1,"('l2', 'k4')",1.2956625
m2,m5,1,"('l1', 'k5')",0.67541045
m2,m5,1,"('l2', 'k5')",0.51525497
m3,m1,1,"('l1', 'k1')",1.2424797
m3,m1,1,"('l2', 'k1')",1.0446849
m3,m2,1,"('l1', 'k2')",1.1301839
m3,m2,1,"('l2', 'k2')",1.2691152
m3,m2,2,"('l2', 'k2')",0.67808099
m3,m4,1,"('l1', 'k4')",0.52043913
m3,m4,1,"('l2', 'k4')",0.78589569
m3,m5,1,"('l1', 'k5')",0.71002658
m3,m5,1,"('l2', 'k5')",1.3523951
m4,m1,1,"('l1', 'k1')",0.87625245
m4,m1,1,"('l2', 'k1')",1.4463799
m4,m2,1,"('l1', 'k2')",1.0928054
m4,m2,1,"('l2', 'k2')",1.1022967
m4,m3,1,"('l1', 'k3')",1.1299419
m4,m3,1,"('l2', 'k3')",0.88776628
m4,m5,1,"('l1', 'k5')",1.4338413
m4,m5,1,"('l2', 'k5')",0.70434528
m5,m1,1,"('l1', 'k1')",1.0086989
m5,m1,1,"('l2', 'k1')",0.83559644
m5,m1,2,"('l2', 'k1')",0.77587815
m5,m2,1,"('l1', 'k2')",0.58846017
m5,m2,1,"('l2', 'k2')",1.3054505
m5,m3,1,"('l1', 'k3')",1.0280352
m5,m3,1,"('l2', 'k3')",1.254349
m5,m3,2,"('l2', 'k3')",1.1411013
m5,m4,1,"('l1', 'k4')",1.492158
m5,m4,1,"('l2', 'k4')",0.81306644
m5,m4,2,"('l2', 'k4')",0.70012361
m6,m1,1,"('l1', 'k1')",1.2782892
m6,m2,1,"('l2', 'k2')",0.59755439
m6,m3,1,"('l2', 'k3')",1.4824078
m6,m4,1,"('l2', 'k4')",0.1065555
m6,m4,2,"('l2', 'k4')",0.96060162
m6,m5,1,"('l1', 'k5')",1.1977349
m7,m2,1,"('l2', 'k2')",0.55948179
m7,m4,1,"('l2', 'k4')",1.0006143
m7,m5,1,"('l1', 'k5')",0.89470029
m7,m5,1,"('l2', 'k5')",0.94517663
m8,m1,1,"('l1', 'k1')",0.61004833
m8,m2,1,"('l1', 'k2')",0.017190656
m8,m4,2,"('l2', 'k4')",0.8596781
m8,m5,1,"('l1', 'k5')",1.4429602
m8,m5,1,"('l2', 'k5')",0.41184855
m9,m1,1,"('l1', 'k1')",0.70820724
m9,m1,1,"('l2', 'k1')",1.2700898
m9,m2,1,"('l1', 'k2')",0.95125862
m9,m2,1,"('l2', 'k2')",0.87543925
m9,m2,2,"('l2', 'k2')",1.0201607
m9,m3,1,"('l1', 'k3')",0.99184291
m9,m3,1,"('l2', 'k3')",0.84373954
m9,m4,1,"('l1', 'k4')",1.3990763
m9,m4,1,"('l2', 'k4')",1.1550352
m9,m4,2,"('l2', 'k4')",0.4724826
m9,m5,1,"('l1', 'k5')",1.2293605
m9,m5,1,"('l2', 'k5')",1.211038
m10,m1,1,"('l1', 'k1')",1.2070435
m10,m1,1,"('l2', 'k1')",1.3568955
m10,m2,1,"('l1', 'k2')",1.3599756
m10,m2,1,"('l2', 'k2')",0.97298399
m10,m3,1,"('l1', 'k3')",0.88717263
m10,m3,1,"('l2', 'k3')",1.163277
m10,m3,2,"('l2', 'k3')",1.4024095
m10,m4,1,"('l1', 'k4')",0.75083402
m10,m4,1,"('l2', 'k4')",1.3057286
m10,m5,1,"('l1', 'k5')",0.79943802
m10,m5,1,"('l2', 'k5')",0.7529805
