Facility,Time,Commodity,Flow
m5,1,"('l1', 'k1')",12.18084
m5,1,"('l1', 'k2')",10.403709
m5,1,"('l1', 'k3')",14.802305
m5,1,"('l1', 'k4')",12.613147
m5,2,"('l1', 'k1')",12.998605
m5,2,"('l1', 'k2')",14.204132
m5,2,"('l1', 'k3')",13.705216
m5,2,"('l1', 'k4')",9.0920468
m8,1,"('l1', 'k1')",12.080076
m8,1,"('l1', 'k2')",7.1354274
m8,1,"('l1', 'k3')",7.8545203
m8,1,"('l1', 'k4')",13.314191
m8,1,"('l1', 'k5')",9.6157859
m8,2,"('l1', 'k1')",5.0995977
m8,2,"('l1', 'k2')",14.861278
m8,2,"('l1', 'k3')",7.7732364
m8,2,"('l1', 'k4')",11.813782
m8,2,"('l1', 'k5')",10.452106
m9,1,"('l1', 'k1')",6.1475467
m9,1,"('l1', 'k2')",9.4582258
m9,1,"('l1', 'k3')",7.7845231
m9,1,"('l1', 'k4')",7.1042213
m9,1,"('l1', 'k5')",19.505483
m9,2,"('l1', 'k1')",11.205784
m9,2,"('l1', 'k2')",6.6001081
m9,2,"('l1', 'k3')",14.285057
m9,2,"('l1', 'k4')",7.2805375
m9,2,"('l1', 'k5')",10.628514
