Node,Path,Commodity,Flow
m1,in,"('l1', 'k3')",10.757099
m1,in,"('l1', 'k4')",6.4609069
m1,in,"('l1', 'k5')",11.86593
m1,in,"('l2', 'k2')",18.919684
m1,in,"('l2', 'k3')",11.45701
m1,in,"('l2', 'k4')",1.9369944
m1,in,"('l2', 'k5')",11.806708
m2,in,"('l1', 'k3')",13.583298
m2,in,"('l1', 'k4')",10.337853
m2,in,"('l1', 'k5')",9.3445859
m2,in,"('l2', 'k1')",6.8719257
m2,in,"('l2', 'k3')",11.271673
m2,in,"('l2', 'k4')",8.5570587
m2,in,"('l2', 'k5')",12.294554
m3,in,"('l1', 'k2')",9.8027704
m3,in,"('l1', 'k5')",3.226282
m3,in,"('l2', 'k1')",11.033858
m3,in,"('l2', 'k2')",14.658762
m3,in,"('l2', 'k5')",10.172967
m4,in,"('l1', 'k2')",7.6046524
m4,in,"('l1', 'k3')",12.126229
m4,in,"('l1', 'k5')",8.8184415
m4,in,"('l2', 'k1')",5.2389483
m4,in,"('l2', 'k2')",8.8530471
m4,in,"('l2', 'k3')",6.4210886
m4,in,"('l2', 'k5')",12.938129
m5,in,"('l2', 'k1')",6.4114857
m5,in,"('l2', 'k2')",14.974863
m5,in,"('l2', 'k3')",6.9689527
m5,in,"('l2', 'k4')",13.878846
m6,in,"('l1', 'k2')",13.75354
m6,in,"('l1', 'k3')",5.3926859
m6,in,"('l1', 'k4')",6.1253882
m6,in,"('l2', 'k1')",14.02993
m6,in,"('l2', 'k2')",14.203231
m6,in,"('l2', 'k3')",5.2025478
m6,in,"('l2', 'k4')",12.619481
m6,in,"('l2', 'k5')",8.1637426
m7,in,"('l1', 'k1')",6.3539991
m7,in,"('l1', 'k3')",11.294863
m7,in,"('l1', 'k4')",10.046355
m7,in,"('l1', 'k5')",10.223095
m7,in,"('l2', 'k1')",11.284376
m7,in,"('l2', 'k2')",7.2541341
m7,in,"('l2', 'k3')",11.599872
m7,in,"('l2', 'k4')",10.624739
m7,in,"('l2', 'k5')",8.9149502
m8,in,"('l2', 'k1')",10.27115
m8,in,"('l2', 'k2')",5.0772489
m8,in,"('l2', 'k3')",12.575675
m8,in,"('l2', 'k4')",7.0161453
m8,in,"('l2', 'k5')",12.403703
m9,in,"('l1', 'k4')",4.2218964
m9,in,"('l2', 'k1')",10.3616
m9,in,"('l2', 'k2')",12.389961
m9,in,"('l2', 'k3')",14.423404
m9,in,"('l2', 'k4')",7.6956685
m9,in,"('l2', 'k5')",5.5267709
m10,in,"('l1', 'k1')",8.4394476
m10,in,"('l1', 'k2')",10.299957
m10,in,"('l1', 'k3')",6.1340585
m10,in,"('l1', 'k4')",9.5334044
m10,in,"('l2', 'k1')",8.987443
m10,in,"('l2', 'k2')",14.127683
m10,in,"('l2', 'k3')",9.5097169
m10,in,"('l2', 'k4')",5.6670974
m10,in,"('l2', 'k5')",14.990496
