Random seed set to: 456

Demands:
D(m1, t=1, ('l1', 'k1')) = 7.5
D(m1, t=1, ('l1', 'k2')) = 6.6
D(m1, t=1, ('l1', 'k3')) = 12.8
D(m1, t=1, ('l1', 'k4')) = 13.1
D(m1, t=1, ('l1', 'k5')) = 11.3
D(m1, t=1, ('l2', 'k1')) = 11.0
D(m1, t=1, ('l2', 'k2')) = 13.9
D(m1, t=1, ('l2', 'k3')) = 12.6
D(m1, t=1, ('l2', 'k4')) = 6.8
D(m1, t=1, ('l2', 'k5')) = 6.5
D(m1, t=2, ('l1', 'k1')) = 9.4
D(m1, t=2, ('l1', 'k2')) = 8.9
D(m1, t=2, ('l1', 'k3')) = 10.8
D(m1, t=2, ('l1', 'k4')) = 6.5
D(m1, t=2, ('l1', 'k5')) = 11.9
D(m1, t=2, ('l2', 'k1')) = 9.7
D(m1, t=2, ('l2', 'k2')) = 10.7
D(m1, t=2, ('l2', 'k3')) = 11.5
D(m1, t=2, ('l2', 'k4')) = 12.2
D(m1, t=2, ('l2', 'k5')) = 11.8
D(m2, t=1, ('l1', 'k1')) = 6.8
D(m2, t=1, ('l1', 'k2')) = 6.2
D(m2, t=1, ('l1', 'k3')) = 7.4
D(m2, t=1, ('l1', 'k4')) = 5.1
D(m2, t=1, ('l1', 'k5')) = 8.6
D(m2, t=1, ('l2', 'k1')) = 6.5
D(m2, t=1, ('l2', 'k2')) = 10.4
D(m2, t=1, ('l2', 'k3')) = 13.6
D(m2, t=1, ('l2', 'k4')) = 7.0
D(m2, t=1, ('l2', 'k5')) = 6.3
D(m2, t=2, ('l1', 'k1')) = 7.1
D(m2, t=2, ('l1', 'k2')) = 14.7
D(m2, t=2, ('l1', 'k3')) = 13.6
D(m2, t=2, ('l1', 'k4')) = 10.3
D(m2, t=2, ('l1', 'k5')) = 9.3
D(m2, t=2, ('l2', 'k1')) = 6.9
D(m2, t=2, ('l2', 'k2')) = 7.9
D(m2, t=2, ('l2', 'k3')) = 11.3
D(m2, t=2, ('l2', 'k4')) = 8.6
D(m2, t=2, ('l2', 'k5')) = 12.3
D(m3, t=1, ('l1', 'k1')) = 10.6
D(m3, t=1, ('l1', 'k2')) = 14.4
D(m3, t=1, ('l1', 'k3')) = 6.5
D(m3, t=1, ('l1', 'k4')) = 14.0
D(m3, t=1, ('l1', 'k5')) = 6.8
D(m3, t=1, ('l2', 'k1')) = 10.9
D(m3, t=1, ('l2', 'k2')) = 5.4
D(m3, t=1, ('l2', 'k3')) = 11.5
D(m3, t=1, ('l2', 'k4')) = 8.7
D(m3, t=1, ('l2', 'k5')) = 13.0
D(m3, t=2, ('l1', 'k1')) = 5.1
D(m3, t=2, ('l1', 'k2')) = 9.8
D(m3, t=2, ('l1', 'k3')) = 6.0
D(m3, t=2, ('l1', 'k4')) = 6.3
D(m3, t=2, ('l1', 'k5')) = 13.2
D(m3, t=2, ('l2', 'k1')) = 11.0
D(m3, t=2, ('l2', 'k2')) = 14.7
D(m3, t=2, ('l2', 'k3')) = 11.9
D(m3, t=2, ('l2', 'k4')) = 14.8
D(m3, t=2, ('l2', 'k5')) = 10.2
D(m4, t=1, ('l1', 'k1')) = 10.2
D(m4, t=1, ('l1', 'k2')) = 6.2
D(m4, t=1, ('l1', 'k3')) = 8.3
D(m4, t=1, ('l1', 'k4')) = 7.7
D(m4, t=1, ('l1', 'k5')) = 13.7
D(m4, t=1, ('l2', 'k1')) = 5.9
D(m4, t=1, ('l2', 'k2')) = 9.8
D(m4, t=1, ('l2', 'k3')) = 13.4
D(m4, t=1, ('l2', 'k4')) = 10.1
D(m4, t=1, ('l2', 'k5')) = 5.5
D(m4, t=2, ('l1', 'k1')) = 11.1
D(m4, t=2, ('l1', 'k2')) = 9.1
D(m4, t=2, ('l1', 'k3')) = 12.1
D(m4, t=2, ('l1', 'k4')) = 5.9
D(m4, t=2, ('l1', 'k5')) = 8.8
D(m4, t=2, ('l2', 'k1')) = 5.2
D(m4, t=2, ('l2', 'k2')) = 8.9
D(m4, t=2, ('l2', 'k3')) = 6.4
D(m4, t=2, ('l2', 'k4')) = 7.2
D(m4, t=2, ('l2', 'k5')) = 12.9
D(m5, t=1, ('l1', 'k1')) = 12.2
D(m5, t=1, ('l1', 'k2')) = 9.8
D(m5, t=1, ('l1', 'k3')) = 14.8
D(m5, t=1, ('l1', 'k4')) = 12.6
D(m5, t=1, ('l1', 'k5')) = 5.9
D(m5, t=1, ('l2', 'k1')) = 10.4
D(m5, t=1, ('l2', 'k2')) = 11.8
D(m5, t=1, ('l2', 'k3')) = 12.4
D(m5, t=1, ('l2', 'k4')) = 11.3
D(m5, t=1, ('l2', 'k5')) = 13.8
D(m5, t=2, ('l1', 'k1')) = 13.0
D(m5, t=2, ('l1', 'k2')) = 10.5
D(m5, t=2, ('l1', 'k3')) = 13.7
D(m5, t=2, ('l1', 'k4')) = 9.1
D(m5, t=2, ('l1', 'k5')) = 5.7
D(m5, t=2, ('l2', 'k1')) = 6.4
D(m5, t=2, ('l2', 'k2')) = 15.0
D(m5, t=2, ('l2', 'k3')) = 7.0
D(m5, t=2, ('l2', 'k4')) = 13.9
D(m5, t=2, ('l2', 'k5')) = 11.5
D(m6, t=1, ('l1', 'k1')) = 5.3
D(m6, t=1, ('l1', 'k2')) = 11.4
D(m6, t=1, ('l1', 'k3')) = 13.8
D(m6, t=1, ('l1', 'k4')) = 6.7
D(m6, t=1, ('l1', 'k5')) = 7.3
D(m6, t=1, ('l2', 'k1')) = 7.6
D(m6, t=1, ('l2', 'k2')) = 8.2
D(m6, t=1, ('l2', 'k3')) = 12.5
D(m6, t=1, ('l2', 'k4')) = 5.8
D(m6, t=1, ('l2', 'k5')) = 14.9
D(m6, t=2, ('l1', 'k1')) = 6.5
D(m6, t=2, ('l1', 'k2')) = 13.8
D(m6, t=2, ('l1', 'k3')) = 5.4
D(m6, t=2, ('l1', 'k4')) = 6.1
D(m6, t=2, ('l1', 'k5')) = 7.9
D(m6, t=2, ('l2', 'k1')) = 14.0
D(m6, t=2, ('l2', 'k2')) = 14.2
D(m6, t=2, ('l2', 'k3')) = 5.2
D(m6, t=2, ('l2', 'k4')) = 12.6
