Facility,Level,Time,Commodity,Flow
m1,l2,1,"('l1', 'k1')",56.293757
m1,l2,1,"('l2', 'k1')",90.771278
m1,l2,2,"('l1', 'k1')",43.246925
m1,l2,2,"('l2', 'k1')",9.6880401
m2,l2,1,"('l1', 'k2')",64.837481
m2,l2,1,"('l2', 'k2')",100.0
m2,l2,2,"('l1', 'k2')",27.279759
m2,l2,2,"('l2', 'k2')",7.8827598
m3,l2,1,"('l1', 'k3')",72.986628
m3,l2,1,"('l2', 'k3')",109.11326
m3,l2,2,"('l1', 'k3')",5.9681013
m3,l2,2,"('l2', 'k3')",11.932008
m4,l2,1,"('l1', 'k4')",62.154571
m4,l2,1,"('l2', 'k4')",93.402146
m4,l2,2,"('l1', 'k4')",12.166565
m4,l2,2,"('l2', 'k4')",32.276718
m5,l1,1,"('l1', 'k1')",12.18084
m5,l1,1,"('l1', 'k2')",10.403709
m5,l1,1,"('l1', 'k3')",14.802305
m5,l1,1,"('l1', 'k4')",12.613147
m5,l1,2,"('l1', 'k1')",12.998605
m5,l1,2,"('l1', 'k2')",14.204132
m5,l1,2,"('l1', 'k3')",13.705216
m5,l1,2,"('l1', 'k4')",9.0920468
m5,l2,1,"('l1', 'k5')",55.055077
m5,l2,1,"('l2', 'k5')",104.4071
m5,l2,2,"('l1', 'k5')",29.059355
m5,l2,2,"('l2', 'k5')",11.478468
m8,l1,1,"('l1', 'k1')",12.080076
m8,l1,1,"('l1', 'k2')",7.1354274
m8,l1,1,"('l1', 'k3')",7.8545203
m8,l1,1,"('l1', 'k4')",13.314191
m8,l1,1,"('l1', 'k5')",9.6157859
m8,l1,2,"('l1', 'k1')",5.0995977
m8,l1,2,"('l1', 'k2')",14.861278
m8,l1,2,"('l1', 'k3')",7.7732364
m8,l1,2,"('l1', 'k4')",11.813782
m8,l1,2,"('l1', 'k5')",10.452106
m9,l1,1,"('l1', 'k1')",6.1475467
m9,l1,1,"('l1', 'k2')",9.4582258
m9,l1,1,"('l1', 'k3')",7.7845231
m9,l1,1,"('l1', 'k4')",7.1042213
m9,l1,1,"('l1', 'k5')",19.505483
m9,l1,2,"('l1', 'k1')",11.205784
m9,l1,2,"('l1', 'k2')",6.6001081
m9,l1,2,"('l1', 'k3')",14.285057
m9,l1,2,"('l1', 'k4')",7.2805375
m9,l1,2,"('l1', 'k5')",10.628514
