Random seed set to: 123

Demands:
D(m1, t=1, ('l1', 'k1')) = 84.8
D(m1, t=1, ('l1', 'k2')) = 64.3
D(m1, t=1, ('l1', 'k3')) = 61.3
D(m1, t=1, ('l1', 'k4')) = 77.6
D(m1, t=1, ('l1', 'k5')) = 86.0
D(m1, t=1, ('l2', 'k1')) = 71.2
D(m1, t=1, ('l2', 'k2')) = 99.0
D(m1, t=1, ('l2', 'k3')) = 84.2
D(m1, t=1, ('l2', 'k4')) = 74.0
D(m1, t=1, ('l2', 'k5')) = 69.6
D(m1, t=2, ('l1', 'k1')) = 67.2
D(m1, t=2, ('l1', 'k2')) = 86.5
D(m1, t=2, ('l1', 'k3')) = 71.9
D(m1, t=2, ('l1', 'k4')) = 53.0
D(m1, t=2, ('l1', 'k5')) = 69.9
D(m1, t=2, ('l2', 'k1')) = 86.9
D(m1, t=2, ('l2', 'k2')) = 59.1
D(m1, t=2, ('l2', 'k3')) = 58.8
D(m1, t=2, ('l2', 'k4')) = 76.6
D(m1, t=2, ('l2', 'k5')) = 76.6
D(m2, t=1, ('l1', 'k1')) = 81.7
D(m2, t=1, ('l1', 'k2')) = 92.5
D(m2, t=1, ('l1', 'k3')) = 86.2
D(m2, t=1, ('l1', 'k4')) = 80.6
D(m2, t=1, ('l1', 'k5')) = 86.1
D(m2, t=1, ('l2', 'k1')) = 66.1
D(m2, t=1, ('l2', 'k2')) = 68.1
D(m2, t=1, ('l2', 'k3')) = 61.4
D(m2, t=1, ('l2', 'k4')) = 64.7
D(m2, t=1, ('l2', 'k5')) = 81.5
D(m2, t=2, ('l1', 'k1')) = 54.6
D(m2, t=2, ('l1', 'k2')) = 71.7
D(m2, t=2, ('l1', 'k3')) = 71.5
D(m2, t=2, ('l1', 'k4')) = 74.7
D(m2, t=2, ('l1', 'k5')) = 71.3
D(m2, t=2, ('l2', 'k1')) = 65.6
D(m2, t=2, ('l2', 'k2')) = 71.3
D(m2, t=2, ('l2', 'k3')) = 94.7
D(m2, t=2, ('l2', 'k4')) = 97.2
D(m2, t=2, ('l2', 'k5')) = 75.1
D(m3, t=1, ('l1', 'k1')) = 81.2
D(m3, t=1, ('l1', 'k2')) = 55.8
D(m3, t=1, ('l1', 'k3')) = 65.9
D(m3, t=1, ('l1', 'k4')) = 70.7
D(m3, t=1, ('l1', 'k5')) = 93.3
D(m3, t=1, ('l2', 'k1')) = 62.5
D(m3, t=1, ('l2', 'k2')) = 74.2
D(m3, t=1, ('l2', 'k3')) = 99.3
D(m3, t=1, ('l2', 'k4')) = 76.0
D(m3, t=1, ('l2', 'k5')) = 80.6
D(m3, t=2, ('l1', 'k1')) = 56.0
D(m3, t=2, ('l1', 'k2')) = 91.3
D(m3, t=2, ('l1', 'k3')) = 80.2
D(m3, t=2, ('l1', 'k4')) = 77.3
D(m3, t=2, ('l1', 'k5')) = 67.1
