Random seed set to: 456

Demands:
D(m1, t=1, ('l1', 'k1')) = 28.7
D(m1, t=1, ('l1', 'k2')) = 27.4
D(m1, t=1, ('l1', 'k3')) = 36.8
D(m1, t=1, ('l1', 'k4')) = 37.1
D(m1, t=1, ('l1', 'k5')) = 34.4
D(m1, t=1, ('l2', 'k1')) = 34.1
D(m1, t=1, ('l2', 'k2')) = 38.3
D(m1, t=1, ('l2', 'k3')) = 36.4
D(m1, t=1, ('l2', 'k4')) = 27.7
D(m1, t=1, ('l2', 'k5')) = 27.3
D(m1, t=2, ('l1', 'k1')) = 31.5
D(m1, t=2, ('l1', 'k2')) = 30.8
D(m1, t=2, ('l1', 'k3')) = 33.6
D(m1, t=2, ('l1', 'k4')) = 27.2
D(m1, t=2, ('l1', 'k5')) = 35.3
D(m1, t=2, ('l2', 'k1')) = 32.0
D(m1, t=2, ('l2', 'k2')) = 33.5
D(m1, t=2, ('l2', 'k3')) = 34.7
D(m1, t=2, ('l2', 'k4')) = 35.9
D(m1, t=2, ('l2', 'k5')) = 35.2
D(m2, t=1, ('l1', 'k1')) = 27.7
D(m2, t=1, ('l1', 'k2')) = 26.8
D(m2, t=1, ('l1', 'k3')) = 28.6
D(m2, t=1, ('l1', 'k4')) = 25.1
D(m2, t=1, ('l1', 'k5')) = 30.4
D(m2, t=1, ('l2', 'k1')) = 27.2
D(m2, t=1, ('l2', 'k2')) = 33.1
D(m2, t=1, ('l2', 'k3')) = 37.9
D(m2, t=1, ('l2', 'k4')) = 28.0
D(m2, t=1, ('l2', 'k5')) = 27.0
D(m2, t=2, ('l1', 'k1')) = 28.2
D(m2, t=2, ('l1', 'k2')) = 39.6
D(m2, t=2, ('l1', 'k3')) = 37.9
D(m2, t=2, ('l1', 'k4')) = 33.0
D(m2, t=2, ('l1', 'k5')) = 31.5
D(m2, t=2, ('l2', 'k1')) = 27.8
D(m2, t=2, ('l2', 'k2')) = 29.3
D(m2, t=2, ('l2', 'k3')) = 34.4
D(m2, t=2, ('l2', 'k4')) = 30.3
D(m2, t=2, ('l2', 'k5')) = 35.9
D(m3, t=1, ('l1', 'k1')) = 33.4
D(m3, t=1, ('l1', 'k2')) = 39.1
D(m3, t=1, ('l1', 'k3')) = 27.3
D(m3, t=1, ('l1', 'k4')) = 38.4
D(m3, t=1, ('l1', 'k5')) = 27.7
D(m3, t=1, ('l2', 'k1')) = 33.9
D(m3, t=1, ('l2', 'k2')) = 25.6
D(m3, t=1, ('l2', 'k3')) = 34.8
D(m3, t=1, ('l2', 'k4')) = 30.5
D(m3, t=1, ('l2', 'k5')) = 36.9
D(m3, t=2, ('l1', 'k1')) = 25.2
D(m3, t=2, ('l1', 'k2')) = 32.2
D(m3, t=2, ('l1', 'k3')) = 26.5
D(m3, t=2, ('l1', 'k4')) = 26.9
D(m3, t=2, ('l1', 'k5')) = 37.3
D(m3, t=2, ('l2', 'k1')) = 34.1
D(m3, t=2, ('l2', 'k2')) = 39.5
D(m3, t=2, ('l2', 'k3')) = 35.4
D(m3, t=2, ('l2', 'k4')) = 39.6
D(m3, t=2, ('l2', 'k5')) = 32.8
