Type,Facility,Time,Commodity,Flow
k1,m1,1,"('l1', 'k1')",9.2287215
k1,m1,1,"('l2', 'k1')",90.771278
k1,m1,2,"('l1', 'k1')",90.31196
k1,m1,2,"('l2', 'k1')",9.6880401
k2,m2,1,"('l2', 'k2')",100.0
k2,m2,2,"('l1', 'k2')",92.11724
k2,m2,2,"('l2', 'k2')",7.8827598
k3,m3,1,"('l1', 'k3')",72.986628
k3,m3,1,"('l2', 'k3')",27.013372
k3,m3,2,"('l1', 'k3')",5.9681013
k3,m3,2,"('l2', 'k3')",94.031899
k4,m4,1,"('l1', 'k4')",62.154571
k4,m4,1,"('l2', 'k4')",37.845429
k4,m4,2,"('l1', 'k4')",12.166565
k4,m4,2,"('l2', 'k4')",87.833435
k5,m5,1,"('l2', 'k5')",100.0
k5,m5,2,"('l1', 'k5')",84.114432
k5,m5,2,"('l2', 'k5')",15.885568
