From Node,To Node,Time,Commodity,Flow
m1,m2,1,"('l1', 'k2')",6.6306678
m1,m2,1,"('l2', 'k2')",5.6373264
m1,m2,2,"('l1', 'k2')",8.8527255
m1,m3,1,"('l1', 'k3')",12.836433
m1,m3,1,"('l2', 'k3')",12.591175
m1,m4,1,"('l1', 'k4')",13.085234
m1,m4,1,"('l2', 'k4')",6.8110506
m1,m4,2,"('l2', 'k4')",10.296412
m1,m5,1,"('l1', 'k5')",11.256284
m1,m5,1,"('l2', 'k5')",6.5016932
m2,m1,1,"('l1', 'k1')",6.8091714
m2,m1,1,"('l2', 'k1')",6.4604175
m2,m1,2,"('l1', 'k1')",7.1359356
m2,m3,1,"('l1', 'k3')",7.427344
m2,m3,1,"('l2', 'k3')",13.571034
m2,m4,1,"('l1', 'k4')",5.0818342
m2,m4,1,"('l2', 'k4')",7.0021216
m2,m5,1,"('l1', 'k5')",8.600685
m2,m5,1,"('l2', 'k5')",6.3463346
m3,m1,1,"('l1', 'k1')",10.569882
m3,m1,1,"('l2', 'k1')",10.942625
m3,m1,2,"('l1', 'k1')",5.1090705
m3,m2,1,"('l1', 'k2')",14.4239
m3,m2,1,"('l2', 'k2')",5.4262963
m3,m4,1,"('l1', 'k4')",13.962256
m3,m4,1,"('l2', 'k4')",8.6671955
m3,m4,2,"('l1', 'k4')",6.2807294
m3,m4,2,"('l2', 'k4')",14.754581
m3,m5,1,"('l1', 'k5')",6.7803467
m3,m5,1,"('l2', 'k5')",12.955698
m3,m5,2,"('l1', 'k5')",9.96596
m4,m1,1,"('l1', 'k1')",10.248747
m4,m1,1,"('l2', 'k1')",5.868984
m4,m1,2,"('l1', 'k1')",11.132572
m4,m2,1,"('l1', 'k2')",6.1794287
m4,m2,1,"('l2', 'k2')",9.7852156
m4,m2,2,"('l1', 'k2')",1.4785599
m4,m3,1,"('l1', 'k3')",8.3180139
m4,m3,1,"('l2', 'k3')",13.377898
m4,m5,1,"('l1', 'k5')",2.8442163
m4,m5,1,"('l2', 'k5')",5.4834598
m4,m9,1,"('l1', 'k5')",10.854392
m5,m1,1,"('l2', 'k1')",10.372969
m5,m2,1,"('l2', 'k2')",11.77934
m5,m3,1,"('l2', 'k3')",12.401806
m5,m4,1,"('l2', 'k4')",11.275566
m6,m1,1,"('l1', 'k1')",5.277094
m6,m1,1,"('l2', 'k1')",7.6112551
m6,m1,2,"('l1', 'k1')",6.4896651
m6,m2,1,"('l1', 'k2')",10.804781
m6,m2,1,"('l2', 'k2')",8.2268275
m6,m3,1,"('l1', 'k3')",13.769079
m6,m3,1,"('l2', 'k3')",12.54521
m6,m4,1,"('l1', 'k4')",6.6563906
m6,m4,1,"('l2', 'k4')",5.8452374
m6,m5,1,"('l1', 'k2')",0.56668394
m6,m5,1,"('l1', 'k5')",7.3385566
m6,m5,1,"('l2', 'k5')",14.908108
m6,m5,2,"('l1', 'k5')",7.9084538
m7,m1,1,"('l1', 'k1')",9.1920283
m7,m1,1,"('l2', 'k1')",12.471107
m7,m2,1,"('l1', 'k2')",10.678161
m7,m2,1,"('l2', 'k2')",14.678786
m7,m2,2,"('l1', 'k2')",2.2169174
m7,m3,1,"('l1', 'k3')",11.986277
m7,m3,1,"('l2', 'k3')",3.9200048
m7,m4,1,"('l1', 'k4')",5.3139636
m7,m4,1,"('l2', 'k4')",14.421327
m7,m5,1,"('l1', 'k5')",5.0775962
m7,m5,1,"('l2', 'k5')",10.911282
m7,m5,2,"('l1', 'k2')",3.6647045
m8,m1,1,"('l2', 'k1')",5.7439064
m8,m1,2,"('l1', 'k1')",3.6108109
m8,m2,1,"('l2', 'k2')",13.600214
m8,m3,1,"('l2', 'k3')",9.202944
m8,m4,1,"('l1', 'k4')",0.16259589
m8,m4,1,"('l2', 'k4')",10.249213
m8,m5,1,"('l2', 'k5')",11.517022
m9,m1,1,"('l2', 'k1')",12.957847
m9,m2,1,"('l2', 'k2')",5.8977683
m9,m3,1,"('l2', 'k3')",11.60933
m9,m4,1,"('l2', 'k4')",7.2298052
m9,m5,1,"('l2', 'k5')",9.6084058
m10,m1,1,"('l1', 'k1')",6.7092751
m10,m1,1,"('l2', 'k1')",7.301031
m10,m1,2,"('l1', 'k1')",0.41207728
m10,m2,1,"('l1', 'k2')",9.9389575
m10,m2,1,"('l2', 'k2')",14.540995
m10,m3,1,"('l1', 'k3')",12.114025
m10,m3,1,"('l2', 'k3')",8.3599561
m10,m4,1,"('l1', 'k4')",10.168132
m10,m4,1,"('l2', 'k4')",11.80275
m10,m5,1,"('l1', 'k5')",7.2492836
m10,m5,1,"('l2', 'k5')",12.342259
m10,m5,2,"('l1', 'k5')",5.5127702
